Replication,Simulation Period,To: I,To I,Action Code,Simulation Time,In: S,In: E,In: I,In: R,S,I,Population size,% Susceptible,% Infectious,Replication,Observation Period,Obs: To I,Obs: Action Code,Epidemic Time,Obs: % Susceptible,Obs: % Infectious
4,11,312,312,"1,1",0.211538462,98217,211,299,1273,98217,299,100000,0.98217,0.00299,4,11,312,"1,1",0.211538462,0.98217,0.00299
4,12,222,222,"1,1",0.230769231,98043,163,220,1574,98043,220,100000,0.98043,0.0022,4,12,222,"1,1",0.230769231,0.98043,0.0022
4,13,187,187,"1,1",0.25,97912,107,189,1792,97912,189,100000,0.97912,0.00189,4,13,187,"1,1",0.25,0.97912,0.00189
4,14,142,142,"1,1",0.269230769,97779,98,151,1972,97779,151,100000,0.97779,0.00151,4,14,142,"1,1",0.269230769,0.97779,0.00151
4,15,107,107,"1,1",0.288461538,97682,88,123,2107,97682,123,100000,0.97682,0.00123,4,15,107,"1,1",0.288461538,0.97682,0.00123
4,16,101,101,"1,1",0.307692308,97597,72,112,2219,97597,112,100000,0.97597,0.00112,4,16,101,"1,1",0.307692308,0.97597,0.00112
4,17,89,89,"1,1",0.326923077,97530,50,84,2336,97530,84,100000,0.9753,0.00084,4,17,89,"1,1",0.326923077,0.9753,0.00084
4,18,54,54,"1,1",0.346153846,97486,40,61,2413,97486,61,100000,0.97486,0.00061,4,18,54,"1,1",0.346153846,0.97486,0.00061
4,19,41,41,"1,1",0.365384615,97449,36,45,2470,97449,45,100000,0.97449,0.00045,4,19,41,"1,1",0.365384615,0.97449,0.00045
4,20,35,35,"1,1",0.384615385,97424,26,33,2517,97424,33,100000,0.97424,0.00033,4,20,35,"1,1",0.384615385,0.97424,0.00033
4,21,28,28,"1,1",0.403846154,97399,23,24,2554,97399,24,100000,0.97399,0.00024,4,21,28,"1,1",0.403846154,0.97399,0.00024
4,22,21,21,"1,1",0.423076923,97382,19,21,2578,97382,21,100000,0.97382,0.00021,4,22,21,"1,1",0.423076923,0.97382,0.00021
4,23,18,18,"1,1",0.442307692,97362,21,23,2594,97362,23,100000,0.97362,0.00023,4,23,18,"1,1",0.442307692,0.97362,0.00023
4,24,24,24,"1,1",0.461538462,97346,13,24,2617,97346,24,100000,0.97346,0.00024,4,24,24,"1,1",0.461538462,0.97346,0.00024
4,25,13,13,"1,1",0.480769231,97332,14,21,2633,97332,21,100000,0.97332,0.00021,4,25,13,"1,1",0.480769231,0.97332,0.00021
4,26,18,18,"1,1",0.5,97316,12,19,2653,97316,19,100000,0.97316,0.00019,4,26,18,"1,1",0.5,0.97316,0.00019
4,27,13,13,"1,1",0.519230769,97307,8,15,2670,97307,15,100000,0.97307,0.00015,4,27,13,"1,1",0.519230769,0.97307,0.00015
4,28,10,10,"1,1",0.538461538,97301,4,10,2685,97301,10,100000,0.97301,0.0001,4,28,10,"1,1",0.538461538,0.97301,0.0001
4,29,6,6,"1,1",0.557692308,97294,5,8,2693,97294,8,100000,0.97294,0.00008,4,29,6,"1,1",0.557692308,0.97294,0.00008
4,30,5,5,"1,1",0.576923077,97286,8,7,2699,97286,7,100000,0.97286,0.00007,4,30,5,"1,1",0.576923077,0.97286,0.00007
4,31,8,8,"1,1",0.596153846,97282,4,6,2708,97282,6,100000,0.97282,0.00006,4,31,8,"1,1",0.596153846,0.97282,0.00006
4,32,5,5,"1,1",0.615384615,97275,6,4,2715,97275,4,100000,0.97275,0.00004,4,32,5,"1,1",0.615384615,0.97275,0.00004
4,33,6,6,"1,1",0.634615385,97270,5,5,2720,97270,5,100000,0.9727,0.00005,4,33,6,"1,1",0.634615385,0.9727,0.00005
4,34,4,4,"1,1",0.653846154,97264,7,4,2725,97264,4,100000,0.97264,0.00004,4,34,4,"1,1",0.653846154,0.97264,0.00004
4,35,8,8,"1,1",0.673076923,97260,3,5,2732,97260,5,100000,0.9726,0.00005,4,35,8,"1,1",0.673076923,0.9726,0.00005
4,36,3,3,"1,1",0.692307692,97260,0,2,2738,97260,2,100000,0.9726,0.00002,4,36,3,"1,1",0.692307692,0.9726,0.00002
4,37,0,0,"1,1",0.703296703,97260,0,0,2740,97260,0,100000,0.9726,0.00002,4,36,0,"1,1",0.700549451,0.9726,0.00002
