Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-160107279,296739324,14767129,12435989,248719.78,14767129,10117907,1168739,171303,711,14672631,2292997,12435989,14728986,4875959.881,116390.978,6065.481484,109458.3555,9195.948681,1500.000879,5.921043956,0.023870101,0.052108105,0.07754842,0.011830155,4.49505E-05,0.685244945,0.077763394,0.010739044,4.27232E-05,0.060570417,0.138436308
Base,364,0.05,1,5000,-149022210,167937037,13741285,11609360,232187.2,13741285,9936494,257828,364350,3,13673613,2105532,11609360,13714892,4881003.747,91361.52319,1034.324835,89520.25951,1800.446648,2484.136044,0.00010989,0.018718163,0.01130891,0.018602456,0.026898907,3.7445E-09,0.72316009,0.017781545,0.026295034,1.94801E-07,0.056305285,0.138890672
Base,364,0.05,1,5000,-110763374,5039972,10226825,8495124,169902.48,10226825,6606642,454428,302134,0,10165902,1704877,8495124,10200001,4880562.784,144260.1476,4453.741044,139205.8085,6497.172692,4366.07522,0,0.029557976,0.030881875,0.045039079,0.030248668,8.4247E-10,0.646034237,0.044487673,0.029537322,0,0.041907949,0.178423828
Base,364,0.05,1,5000,-56022308,612848900,5158810,4434208,88684.16,5158810,3321569,97743,254384,171,5123502,710020,4434208,5144228,4880651.849,55416.915,1011.01544,54102.75714,1151.612857,2754.769066,1.649450549,0.011356923,0.018214387,0.016768276,0.044733767,2.04919E-05,0.644642259,0.015718332,0.044435944,2.27768E-05,0.021143807,0.078753274
Base,364,0.05,1,5000,-125782062,689579514,11616388,9618182,192363.64,11616388,7988947,215974,947337,2,11545350,1968109,9618182,11586291,4874552.444,121279.4727,3888.057308,116709.2082,2409.954835,9829.47522,0.001813187,0.02488136,0.032098941,0.020937633,0.078858366,1.90792E-08,0.687819373,0.019373845,0.079394148,1.95006E-07,0.047663743,0.218329328
Base,364,0.05,1,5000,-82261666,950245696,7522918,7032486,140649.72,7522918,5512783,431909,693412,0,7491117,479691,7032486,7512177,4876202.454,41317.44275,2446.137033,38429.44956,2362.071593,3772.984451,0.000164835,0.008473047,0.059158037,0.055087317,0.092492748,3.15968E-09,0.732935729,0.055311368,0.093323687,0,0.030854398,0.039039819
Base,364,0.05,1,5000,-116215356,1330304179,10678490,9430456,188609.12,10678490,6584288,197793,446876,0,10621387,1223043,9430456,10653499,4874063.57,90588.91846,740.5987363,89221.12495,1729.868407,3870.094725,0,0.018585488,0.00816361,0.018247802,0.039788524,0,0.616696699,0.017789897,0.039056815,0,0.043816531,0.098278562
Base,364,0.05,1,5000,-80544305,1545373363,7477173,5772575,115451.5,7477173,5513464,295256,307995,0,7415331,1687457,5772575,7460032,4875090.191,79938.94302,3640.701758,75859.01687,3235.904011,3369.665714,0,0.016395956,0.045485889,0.035832297,0.040256621,0,0.737586923,0.035000907,0.039374347,0,0.03067268,0.1577318
Base,364,0.05,1,5000,-98805229,1565232258,9071606,8089169,161783.38,9071606,5557074,251993,142665,2,9025134,961633,8089169,9050802,4876224.968,75244.17775,572.9944505,74138.34582,2124.92033,1287.807802,0.005164835,0.015430694,0.00757903,0.024702234,0.014129649,5.18766E-08,0.612801118,0.024401787,0.013117169,1.59264E-07,0.037206921,0.078626867
Base,364,0.05,1,5000,-71790211,282343918,6622959,5560621,111212.42,6622959,4711987,350938,354375,0,6572768,1046808,5560621,6607429,4876025.885,82979.74198,628.8584066,81961.89214,4537.827857,4435.532033,0,0.017016905,0.007540948,0.050512895,0.054459409,0,0.711630224,0.049070507,0.054558091,0,0.027164057,0.118874713
Base,364,0.05,1,5000,-96866647,937022975,8918339,7683257,153665.14,8918339,6357344,227438,452722,204,8866130,1217731,7683257,8900988,4882732.11,106861.4536,1716.660769,104620.9905,2805.82033,5513.36522,2.664835165,0.021885735,0.016066742,0.026063362,0.051379649,2.44364E-05,0.712849398,0.02535281,0.050595995,2.2402E-05,0.036529496,0.137577705
Base,364,0.05,1,5000,-64816719,1465229444,6055144,4265279,85305.58,6055144,3945082,113270,211140,84,5988103,1757200,4265279,6022479,4878467.778,82867.38962,1623.061758,80888.54835,1796.636099,2976.137473,1.201428571,0.016986927,0.019585041,0.018611111,0.033400667,1.16657E-05,0.651945132,0.01643321,0.032480488,1.11804E-05,0.02482451,0.218240107
Base,364,0.05,1,5000,-90065703,771731499,8323034,6835363,136707.26,8323034,6201013,265103,161880,709,8269143,1471443,6835363,8306806,4879217.157,69712.54978,3291.633077,65932.09544,2274,1422.596923,6.24032967,0.014287991,0.047190597,0.030015695,0.019025041,7.62884E-05,0.745216265,0.029394765,0.01827595,7.26823E-05,0.03411702,0.138350167
Base,364,0.05,1,5000,-111587630,1515474576,10261217,8975460,179509.2,10261217,7557545,625111,235666,0,10219820,1272395,8975460,10247855,4879427.128,125182.7951,2686.366538,121893.8143,7576.711538,2959.011429,0,0.025655433,0.021452159,0.060553038,0.023163674,4.16164E-10,0.736521387,0.060944824,0.022519638,0,0.042059078,0.118167592
