Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-93935563,1330155614,8857818,5357383,107147.66,8857818,6219304,243545,58856,10,8783820,3471972,5357383,8829355,4878586.252,55116.85434,733.4582418,53863.14511,1529.266593,410.1104945,0.086153846,0.011298092,0.01327935,0.02574489,0.006565802,1.39694E-06,0.702187774,0.025625105,0.00588105,9.8236E-07,0.036313876,0.393230536
Base,364,0.05,1,5000,-124330008,1403594825,11820704,6122968,122459.36,11820704,7671702,407640,160290,0,11755090,5672680,6122968,11795648,4880805.166,108747.6829,4901.238132,103152.3025,3747.412637,1491.337198,0.00521978,0.022280886,0.045068818,0.034237695,0.01374257,5.46571E-08,0.649009404,0.034279488,0.013605629,0,0.048437062,0.48091296
Base,364,0.05,1,5000,-124699504,974179655,11512035,9579154,191583.08,11512035,8025351,1126251,170589,12,11418751,1899185,9579154,11478339,4877811.772,60310.1861,1141.375604,58492.77593,5844.84978,908.6084615,0.046868132,0.012364503,0.018817882,0.095697104,0.013632517,6.48535E-07,0.69714249,0.096701602,0.013493397,8.47709E-07,0.04720263,0.165458173
Base,364,0.05,1,5000,-76613808,1565484324,7184994,4763868,95277.36,7184994,5096912,384355,262206,974,7120476,2401005,4763868,7164873,4878334.306,57258.77088,3611.857033,53224.8522,3049.568132,2125.27456,7.905659341,0.01173728,0.063151314,0.052171224,0.036634158,0.000112564,0.709957328,0.052504817,0.036267299,0.000109876,0.029456153,0.335107824
Base,364,0.05,1,5000,-134895076,192922423,12503071,9864366,197287.32,12503071,8196949,658014,561902,78,12428800,2606547,9864366,12470913,4879042.888,124207.1274,4430.281648,119042.6077,6491.781758,5536.866538,0.937692308,0.025457219,0.035675767,0.051882969,0.043883139,7.25336E-06,0.655613615,0.052285136,0.044286166,5.95409E-06,0.051251864,0.209010118
Base,364,0.05,1,5000,-87524137,1290152472,8316642,4357717,87154.34,8316642,5816634,947787,345528,309,8246079,3934332,4357717,8292049,4877604.702,74962.61538,4424.160604,70049.94016,8489.285989,3114.31533,2.937032967,0.015369419,0.058991203,0.114479581,0.04652254,3.65156E-05,0.699457704,0.115153624,0.046522557,3.4448E-05,0.03410258,0.474470423
Base,364,0.05,1,5000,-149131225,1369012578,13865731,10473915,209478.3,13865731,9358789,189640,342342,0,13765108,3351328,10473915,13825243,4880804.141,118870.9099,5703.936538,112352.7088,1653.144725,2936.056923,0.000714286,0.024354945,0.047982892,0.013654989,0.02464458,8.40046E-09,0.674965692,0.013446214,0.0246455,0,0.056817114,0.242406445
Base,364,0.05,1,5000,-131554110,2024289392,12088319,10670920,213418.4,12088319,7819055,659330,896893,0,12015485,1390158,10670920,12061078,4876531.901,92599.295,3283.137198,88606.20214,5025.448681,6888.114176,0.000274725,0.018988696,0.03544972,0.054194691,0.07279668,3.49707E-09,0.646855343,0.054482909,0.072738435,0,0.0495778,0.115259847
Base,364,0.05,1,5000,-80614240,1160993893,7539915,5215090,104301.8,7539915,5272010,653353,113189,0,7447806,2295794,5215090,7510884,4880604.421,48915.94473,3393.177637,45079.87418,4235.300659,762.4929121,0.011648352,0.010023505,0.069141898,0.081807289,0.013695298,1.59745E-07,0.69947854,0.082215085,0.013331853,0,0.030898981,0.30566229
Base,364,0.05,1,5000,-99857997,1043869752,9495936,4898637,97972.74,9495936,6225861,631269,203365,24,9448605,4579391,4898637,9478028,4882929.555,99647.12637,694.7835714,98394.52027,6581.420934,2121.813956,0.261758242,0.020408336,0.006964803,0.066887714,0.022098959,2.62431E-06,0.65565209,0.067314574,0.022225242,2.47388E-06,0.038895408,0.483158628
