Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of A and B
Base,364,0.05,1,5000,-108778361,1737555146,10265935,6119011,122380.22,10265935,6626656,110289,51368,15768,10180874,4105040,6119011,10224051,4879808.784,54642.80077,1029.836319,53010.05093,788.6691209,361.7867033,109.954011,0.011198709,0.018799649,0.010622709,0.005836171,0.001785246,0.645922827,0.008110566,0.004470154,0.001381631,0.042077547,0.318609031
Base,364,0.05,1,5000,-155492102,1369886119,14398862,11503482,230069.64,14398862,10027618,74864,115111,6,14296380,2848821,11503482,14352303,4877765.022,95344.72379,1656.005879,92843.19198,645.4229121,893.6251648,0.082472527,0.019546907,0.017361811,0.0066037,0.009116468,8.60E-07,0.696428119,0.005121221,0.007820714,4.13E-07,0.059038025,0.198059745
Base,364,0.05,1,5000,-120421824,1944436421,11163692,8784904,175698.08,11163692,7329814,550536,66578,7,11065281,2330065,8784904,11114969,4877333.367,49411.54374,1502.252802,47253.74011,2495.237527,415.5287363,0.021208791,0.010131081,0.030382246,0.048195607,0.007928208,4.06E-07,0.656507688,0.047469763,0.005714715,6.06E-07,0.045777382,0.19832258
Base,364,0.05,1,5000,-112591755,1219328246,10964962,2942135,58842.7,10964962,7257345,59648,98612,13,10884557,7981273,2942135,10923408,4877170.781,70623.13725,2355.252363,67623.94302,490.7858791,808.0128571,0.100714286,0.014480554,0.033349796,0.006920065,0.010916297,1.45E-06,0.661877595,0.005453609,0.008626086,1.20E-06,0.044964982,0.73792387
Base,364,0.05,1,5000,-141891939,1200282901,13131469,10577249,211544.98,13131469,8194366,1173922,128537,1811,13050374,2517574,10577249,13094823,4876580.077,107500.0747,1705.328846,105023.591,9573.582308,1215.36489,16.9428022,0.022044411,0.015873327,0.08846143,0.010833182,0.000151022,0.624058801,0.08905933,0.009458853,0.000133141,0.053855709,0.19834083
Base,364,0.05,1,5000,-85225880,1512604839,7807438,7151500,143030,7807438,5294931,457299,1287412,4571,7747481,631921,7151500,7783421,4881781.586,46261.32703,1999.68544,43802.98214,2709.686484,7589.147198,27.12406593,0.009477948,0.043046735,0.05223717,0.166401701,0.000698757,0.677989914,0.052208825,0.167790372,0.000696693,0.031990293,0.057855993
Base,364,0.05,1,5000,-161211072,62021583,14764758,13563492,271269.84,14764758,9300571,40317,549731,6352,14690190,1166035,13563492,14729527,4874711.361,87326.36681,5387.985549,81071.42467,277.4487363,3291.129451,38.14763736,0.017915194,0.061762277,0.003962733,0.038742892,0.000468566,0.630015786,0.003346633,0.038353092,0.000461495,0.06058099,0.097792908
Base,364,0.05,1,5000,-111271757,1135575277,10215408,9117677,182353.54,10215408,7271491,99742,213293,354,10163366,1079489,9117677,10197166,4879319.934,87417.73505,5000.688681,81817.04659,999.4685165,1906.868242,3.256923077,0.017916132,0.057191186,0.010622742,0.021269145,3.59E-05,0.711821466,0.009135024,0.020411223,3.34E-05,0.041872152,0.098853391
Base,364,0.05,1,5000,-117363967,550849216,10786025,9503717,190074.34,10786025,7881395,148686,124136,5,10719968,1257003,9503717,10760720,4882099.413,81909.84604,1285.691758,79990.69302,1236.488956,1054.877473,0.02967033,0.016778306,0.0156634,0.013052336,0.011305215,3.03E-07,0.73074958,0.011960938,0.010168207,3.93E-07,0.044186373,0.098481335
Base,364,0.05,1,5000,-120698247,1005379832,11823187,2466377,49327.54,11823187,8633470,135874,179295,0,11736744,9317414,2466377,11783791,4877933.547,68947.33615,5628.260055,62624.65165,983.7601099,1157.682253,0.002362637,0.014134719,0.081645114,0.014353049,0.01716409,3.62E-08,0.73023954,0.011724093,0.015603841,0,0.048476451,0.777546543
Base,364,0.05,1,5000,-97493885,587677574,9290560,4588285,91765.7,9290560,6440687,38098,324954,54,9231083,4682636,4588285,9270921,4880504.149,79536.28077,3002.412692,75988.18341,340.259011,2797.151868,0.487472527,0.016297123,0.037713944,0.003725901,0.035414456,6.13E-06,0.693092846,0.003530669,0.035296508,5.72E-06,0.038071883,0.49713755
Base,364,0.05,1,5000,-103834251,460650856,9814339,5690861,113817.22,9814339,6791763,43513,42791,0,9755976,4094527,5690861,9785388,4876767.637,36735.03489,3886.177308,32272.43192,202.5390659,198.3453846,0,0.007532716,0.105731512,0.004477185,0.005018289,0,0.69199943,0.003625426,0.004078561,0,0.040248903,0.378682163
Base,364,0.05,1,5000,-135261438,217902370,12962241,5639028,112780.56,12962241,8323238,179666,92131,1,12854966,7264038,5639028,12903066,4878144.869,106233.46,6360.433297,99111.69467,1691.159231,949.6584066,0.041043956,0.021777378,0.059866695,0.015154009,0.008733336,3.62E-07,0.642131918,0.013313207,0.006970595,7.36E-08,0.053143831,0.538354932
Base,364,0.05,1,5000,-132476863,174866801,12617361,6303253,126065.06,12617361,9214981,111546,140529,0,12486349,6259176,6303253,12562429,4878740.125,111584.9757,5105.783077,105738.1953,1243.312253,1903.747088,0.005494505,0.022871759,0.045760945,0.010880734,0.016688015,4.93E-08,0.730366795,0.008684539,0.010987658,0,0.051723486,0.495954158
Base,364,0.05,1,5000,-102686963,1991305249,10094556,1741403,34828.06,10094556,7045001,99224,53647,0,10013952,8311844,1741403,10053247,4883266.033,62728.32319,4456.087967,57679.43418,792.490989,454.3008242,0,0.012848056,0.07097097,0.010519294,0.008273893,0,0.697763717,0.008354952,0.00612553,0,0.04134967,0.778161704
Base,364,0.05,1,5000,-110487284,1967067932,10651933,3967954,79359.08,10651933,7082766,115676,54859,0,10566410,6638760,3967954,10606714,4879246.628,41845.81791,1453.017198,39767.20275,564.4703297,304.0811538,0.001043956,0.008576595,0.034686212,0.010149664,0.007337237,2.36E-08,0.665077621,0.00836842,0.005301958,0,0.043662914,0.578587867
Base,364,0.05,1,5000,-91760334,382269796,8725538,4504954,90099.08,8725538,6315377,412159,100576,47,8649603,4188412,4504954,8693366,4881079.687,74614.46423,1881.188297,72220.80593,3498.484835,1180.150934,0.50467033,0.015287363,0.025210932,0.04537797,0.014576326,5.81E-06,0.723849716,0.045717109,0.010770586,4.58E-06,0.035753751,0.416294684
Base,364,0.05,1,5000,-117706237,1010073421,10786226,9843977,196879.54,10786226,7140092,49562,914675,6,10737814,917660,9843977,10761637,4878194.927,48391.99341,3278.245769,44480.22005,364.4076374,4055.381264,0.021373626,0.009920252,0.067709751,0.006724341,0.083877837,4.18E-07,0.661956393,0.004183414,0.084874669,5.27E-07,0.044222112,0.079244889
Base,364,0.05,1,5000,-163406749,1150069913,14985452,13552229,271044.58,14985452,10775980,493611,624257,3534,14920821,1412961,13552229,14965190,4878408.722,136044.409,6197.64956,128966.7211,4602.653077,5701.278132,32.14115385,0.027886041,0.045612745,0.035788361,0.042222059,0.00025671,0.719167528,0.034788239,0.041948786,0.000255266,0.061432285,0.118539851
Base,364,0.05,1,5000,-90661046,736373015,8957919,1081856,21637.12,8957919,6308517,65982,63494,0,8892694,7851235,1081856,8933091,4879489.871,70018.01302,1159.350934,68332.48324,541.964011,524.8474176,0.003846154,0.014349678,0.016549965,0.006675678,0.008032056,4.67E-08,0.704126858,0.0063741,0.007599105,0,0.036716473,0.857498783
Base,364,0.05,1,5000,-106523183,876488948,9887370,7649483,152989.66,9887370,6893053,65912,120723,0,9831359,2212102,7649483,9861585,4879546.829,46690.82549,4855.676538,41254.47374,409.4635714,597.6767033,0,0.009569115,0.1039835,0.006281483,0.010427944,0,0.697330435,0.004845261,0.00998029,0,0.040526357,0.15926039
