Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Resistant to G_A,Total: Received 1st Tx & Resistant to G_B,Total: Received 1st Tx & Resistant to G_AB,Total: Success 1st,Total: Success A or B,Total: Success M,Total: Success All,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence | Sym,Averge size: Prevalence | G_A,Averge size: Prevalence | G_B,Averge size: Prevalence | G_AB,Average ratio: Prevalence,Average ratio: % infection symptomatic,Average ratio: % infection resistant to G_A,Average ratio: % infection resistant to G_B,Average ratio: % infection resistant to G_AB,Average ratio: % received 1st Tx & symptomatic ,Average ratio: % received 1st Tx & resistant to G_A,Average ratio: % received 1st Tx & resistant to G_B,Average ratio: % received 1st Tx & resistant to G_AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of A and B
Base,364,0.05,1,5000,-145532409,1937726802,13746044,8071969,161439.38,13746044,9436691,83163,235515,0,13654935,5631711,8071969,13703680,4877549.543,83555.74852,7596.756264,637.1745055,1621.385769,0.004395604,0.017130956,0.090955462,0.008728305,0.018048142,6.40372E-08,0.686591137,0.007003051,0.01603858,0,0.056364883,0.457961216
Base,364,0.05,1,5000,-126545035,1727375071,11682238,9722655,194453.1,11682238,7969665,81263,94423,0,11622007,1931108,9722655,11653763,4883642.791,56841.20379,1207.680659,494.5367582,507.9111538,0,0.011639835,0.021243199,0.007089781,0.007891658,7.71398E-10,0.682317023,0.005732088,0.007171398,0,0.047844133,0.139031696
Base,364,0.05,1,5000,-158592980,1888936316,14707933,11513650,230273,14707933,10328737,88343,474252,0,14636551,3166914,11513650,14680564,4878811.025,98153.40885,4445.61989,759.6361538,3277.373022,0.000384615,0.020118339,0.045311835,0.008998369,0.032779125,6.33157E-09,0.702292813,0.007054574,0.031602701,0,0.06029209,0.258399629
Base,364,0.05,1,5000,-122069084,1320565175,11992366,2145424,42908.48,11992366,7999498,62855,111673,0,11916596,9809573,2145424,11954997,4881047.852,86632.71478,5266.318626,613.9763736,946.2184615,5.49451E-05,0.017748398,0.060793118,0.007739294,0.009872274,1.35528E-09,0.667055848,0.005791732,0.0084511,0,0.049136801,0.838357326
Base,364,0.05,1,5000,-117574235,1106572603,10923367,8340565,166811.3,10923367,6773850,191045,72966,151,10856671,2546478,8340565,10887043,4877311.51,82007.84385,5337.253846,1505.008022,734.7371978,1.70467033,0.016813926,0.065091257,0.017119447,0.008215118,1.89558E-05,0.620205599,0.016399997,0.006201315,1.27721E-05,0.044791753,0.218524942
Base,364,0.05,1,5000,-132107021,1065356996,12704848,5058541,101170.82,12704848,8987858,71602,846386,0,12636750,7622072,5058541,12680613,4874296.755,67229.28538,2254.745165,430.545989,4499.116319,0.000934066,0.013793176,0.033516032,0.006218849,0.065016982,2.18078E-08,0.707356674,0.005460635,0.064827861,0,0.052131299,0.618541775
Base,364,0.05,1,5000,-85234921,1197125116,8208509,3149831,62996.62,8208509,5481285,84828,403947,0,8119809,5013777,3149831,8163608,4877927.399,65719.26797,1998.59478,995.4958242,3260.981429,0.001593407,0.013472499,0.030413882,0.014110867,0.055936603,2.40688E-08,0.667893614,0.009827458,0.05531677,0,0.033654699,0.557570621
Base,364,0.05,1,5000,-154103394,1544126642,14170345,12399944,247998.88,14170345,9348029,1063631,89968,0,14105491,1739269,12399944,14139213,4878367.079,153430.1952,6367.816264,11493.32588,1172.023132,0.003516484,0.031450769,0.041548881,0.074441083,0.0089737,3.31621E-08,0.659785107,0.074677755,0.007468666,0,0.058094226,0.158106675
Base,364,0.05,1,5000,-120387256,1570149555,11200248,8384776,167695.52,11200248,7899061,58560,82164,646,11121490,2776590,8384776,11161366,4877925.496,61357.16533,5371.408736,486.0955495,649.3411538,5.090054945,0.012578408,0.087672451,0.005901031,0.008665942,6.88147E-05,0.705707778,0.003974771,0.006109106,4.85383E-05,0.045921411,0.198300443
Base,364,0.05,1,5000,-156622047,365766537,14697102,9651027,193020.54,14697102,9799440,99072,98546,0,14612490,5005994,9651027,14657021,4884667.706,125227.7215,2235.809945,986.8030769,1162.992143,0.001153846,0.025634602,0.017926258,0.010545298,0.009564269,1.55832E-08,0.667046691,0.00895868,0.006959074,0,0.060169854,0.417914299
Base,364,0.05,1,5000,-110856365,900296315,10377246,7083905,141678.1,10377246,7466681,134191,65370,0,10289880,3254644,7083905,10338549,4881967.992,48170.70967,2087.787527,722.7046703,418.4606593,0.000879121,0.009867555,0.043355848,0.011608257,0.007523629,2.22766E-08,0.719780146,0.010108715,0.005522606,0,0.042513409,0.258312268
Base,364,0.05,1,5000,-78277906,1105596576,7440905,3868856,77377.12,7440905,4686207,63036,130986,22951,7373606,3534342,3868856,7403198,4875628.496,44941.80495,3039.999451,552.9758242,842.1447802,143.6428022,0.009217179,0.067559204,0.008649675,0.020564251,0.003727119,0.629644617,0.006040841,0.019526849,0.003626083,0.030520758,0.358690425
Base,364,0.05,1,5000,-131095807,1363165108,12116238,9933427,198668.54,12116238,8873241,57335,91058,0,12047691,2149685,9933427,12083112,4876157.558,56088.52956,1426.988571,417.0351099,502.4235165,0.00043956,0.011502366,0.025449234,0.006415362,0.008025057,9.38967E-09,0.732480718,0.004159123,0.006787145,0,0.049694778,0.158788998
